,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y,target,qtr,age_rank,duration_rank,pday_rank,previous_rank,poutcome_new,emp.var.rate_rank,cons.price.idx_rank,euribor3m_rank,nr.employed_rank,y_pred_p,p_rank,y_pred_p_dtree,p_rank_dtree
0,30,blue-collar,married,Basic,blue-collar,yes,no,cellular,may,fri,487,2,999,0,nonexistent,-1.8,92.893,-46.2,1.313,5099.1,no,0,Q2,1,5,1,1,0,1,1,2,1,0.12248688908380702,8,0.12248688908380702,8
1,39,services,single,high.school,services,no,no,telephone,may,fri,346,4,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,0,Q2,3,4,1,1,0,3,3,3,2,0.027496774276312887,1,0.027496774276312887,1
2,25,services,married,high.school,services,yes,no,telephone,jun,wed,227,1,999,0,nonexistent,1.4,94.465,-41.8,4.962,5228.1,no,0,Q2,1,4,1,1,0,4,4,4,4,0.0299843293155304,2,0.0299843293155304,2
3,38,services,married,Basic,services,unknown,unknown,telephone,jun,fri,17,3,999,0,nonexistent,1.4,94.465,-41.8,4.959,5228.1,no,0,Q2,3,1,1,1,0,4,4,4,4,0.02476647673803474,1,0.02476647673803474,1
4,47,admin.,married,university.degree,admin.,yes,no,cellular,nov,mon,58,1,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,0,Q4,4,1,1,1,0,2,2,3,3,0.07758532300619128,6,0.07758532300619128,6
5,32,services,single,university.degree,services,no,no,cellular,sep,thu,128,3,999,2,failure,-1.1,94.199,-37.5,0.884,4963.6,no,0,Q3,2,2,1,5,0,2,2,1,1,0.31369637620482976,10,0.31369637620482976,10
6,32,admin.,single,university.degree,admin.,yes,no,cellular,sep,mon,290,4,999,0,nonexistent,-1.1,94.199,-37.5,0.879,4963.6,no,0,Q3,2,4,1,1,0,2,2,1,1,0.38355967638296823,10,0.38355967638296823,10
7,41,entrepreneur,married,university.degree,entrepreneur,yes,no,cellular,nov,mon,44,2,999,0,nonexistent,-0.1,93.2,-42.0,4.191,5195.8,no,0,Q4,3,1,1,1,0,2,2,3,3,0.06470691129732822,6,0.06470691129732822,6
8,31,services,divorced,professional.course,services,no,no,cellular,nov,tue,68,1,999,1,failure,-0.1,93.2,-42.0,4.153,5195.8,no,0,Q4,1,1,1,5,0,2,2,2,3,0.06042079994053764,5,0.06042079994053764,5
9,35,blue-collar,married,Basic,blue-collar,no,no,telephone,may,thu,170,1,999,0,nonexistent,1.1,93.994,-36.4,4.855,5191.0,no,0,Q2,2,3,1,1,0,3,3,3,2,0.03637584987839042,3,0.03637584987839042,3
